Bound, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
500000,52126,207.4,41.480000000000004,231.0,102.4
500000,189443,235.4,47.08,228.6,109.2
500000,295151,265.4,53.08,234.6,111.8
500000,352927,286.4,57.279999999999994,233.2,114.4
500000,398845,287.2,57.44,238.0,120.6
500000,321817,273.4,54.67999999999999,236.2,113.8
500000,13321,203.8,40.760000000000005,223.0,95.0
500000,73441,208.2,41.64,221.2,98.0
500000,373521,284.0,56.8,236.6,117.2
500000,300407,299.4,59.879999999999995,337.6,136.8
